Chapter,Name,Class,Level,Difficulty,Boss,Recruitable,Reinforcement,Quantity,HP,Power,Skill,Speed,Luck,Defense,Resistance,Constitution,Move,Item 1,Item 2,Item 3,Item 4,Item 5
Chapter 1,Bandit,Archer,1,Normal,False,False,False,2,18,4,3,3,0,3,0,7,5,Iron Bow,False,False,False,False
Chapter 1,Damas,Fighter,5,Normal,True,False,False,1,28,9,5,6,0,4,0,11,5,Steel Axe,False,False,False,False
Chapter 1,Bandit,Fighter,1,Normal,False,False,False,10,20,5,2,4,0,2,0,11,5,Iron Axe,False,False,False,False
Chapter 1,Bandit,Brigand,1,Normal,False,False,False,1,20,5,1,5,0,3,0,12,5,Iron Axe,False,False,False,False
Chapter 1,Bandit,Archer,1,Hard,False,False,False,2,22~26,6~8,5~7,5~7,2~4,3~5,0~2,7,5,Iron Bow,False,False,False,False
Chapter 1,Damas,Fighter,5,Hard,True,False,False,1,32~36,11~15,7~9,8~10,0~2,4~6,0~2,11,5,Steel Axe,False,False,False,False
Chapter 1,Bandit,Fighter,1,Hard,False,False,False,10,24~28,7~11,4~6,6~8,0~2,2~4,0~2,11,5,Iron Axe,False,False,False,False
Chapter 1,Bandit,Brigand,1,Hard,False,False,False,1,24~28,7~11,3~5,5~7,0~2,3~5,0~2,12,5,Iron Axe,False,False,False,False
Chapter 2,Ruud,Knight,5,Normal,True,False,False,1,24,10,2,2,0,10,0,13,4,Javelin,False,False,False,False
Chapter 2,Bern,Soldier,3,Normal,False,False,False,4,21~22,3~5,0~1,1~2,0~1,0~1,0~1,6,5,Iron Lance,False,False,False,False
Chapter 2,Bern,Fighter,2,Normal,False,False,False,2,20~21,5~6,2~3,4~5,0~1,2~3,0~1,11,5,Iron Axe,False,False,False,False
Chapter 2,Bern,Archer,3,Normal,False,False,False,1,19~20,4~5,3~4,3~4,0~1,3~4,0~1,7,5,Iron Bow,False,False,False,False
Chapter 2,Bern,Soldier,3,Normal,False,False,False,2,21~22,3~5,0~1,1~2,0~1,0~1,0~1,6,5,Javelin,False,False,False,False
Chapter 2,Bern,Fighter,1,Normal,False,False,False,3,20,5,2,4,0,2,0,11,5,Iron Axe,False,False,False,False
Chapter 2,Bern,Soldier,2,Normal,False,False,False,1,20~21,3~4,0~1,1~2,0~1,0~1,0~1,6,5,Iron Lance,False,False,False,False
Chapter 2,Bern,Soldier,1,Normal,False,False,False,1,20,3,0,1,0,0,0,6,5,Javelin,False,False,False,False
Chapter 2,Bern,Archer,1,Normal,False,False,False,1,18,4,3,3,0,3,0,7,5,Iron Bow,False,False,False,False
Chapter 2,Bern,Fighter,3,Normal,False,False,False,1,21~22,5~7,2~3,4~5,0~1,2~3,0~1,11,5,Steel Axe,False,False,False,False
Chapter 2,Bern,Mercenary,3,Normal,False,False,False,1,19~20,4~5,8~9,8~9,0~1,4~5,0~1,9,5,Iron Blade,False,False,False,False
Chapter 2,Bern,Fighter,1,Normal,False,False,False,1,20,5,2,4,0,2,0,11,5,Iron Axe,Hand Axe,False,False,False
Chapter 2,Bern,Fighter,2,Normal,False,False,False,1,20~21,5~6,2~3,4~5,0~1,2~3,0~1,11,5,Hand Axe,False,False,False,False
Chapter 2,Ruud,Knight,5,Hard,True,False,False,1,28~32,12~14,4~6,2~4,0~4,10~14,0~2,13,4,Javelin,False,False,False,False
Chapter 2,Bern,Soldier,3,Hard,False,False,False,4,25~30,5~11,2~5,1~4,0~5,0~3,0~3,6,5,Iron Lance,False,False,False,False
Chapter 2,Bern,Fighter,2,Hard,False,False,False,2,24~29,7~12,4~7,6~9,0~3,2~5,0~3,11,5,Iron Axe,False,False,False,False
Chapter 2,Bern,Archer,3,Hard,False,False,False,1,23~28,6~9,5~8,5~8,2~5,3~6,0~3,7,5,Iron Bow,False,False,False,False
Chapter 2,Bern,Soldier,3,Hard,False,False,False,2,25~30,5~11,2~5,1~4,0~5,0~3,0~3,6,5,Javelin,False,False,False,False
Chapter 2,Bern,Fighter,1,Hard,False,False,False,3,24~28,7~11,4~6,6~8,0~2,2~4,0~2,11,5,Iron Axe,False,False,False,False
Chapter 2,Bern,Soldier,2,Hard,False,False,False,1,24~29,5~10,2~5,1~4,0~5,0~3,0~3,6,5,Iron Lance,False,False,False,False
Chapter 2,Bern,Soldier,1,Hard,False,False,False,1,24~28,5~9,2~4,1~3,0~4,0~2,0~2,6,5,Javelin,False,False,False,False
Chapter 2,Bern,Archer,1,Hard,False,False,False,1,22~26,6~8,5~7,5~7,2~4,3~5,0~2,7,5,Iron Bow,False,False,False,False
Chapter 2,Bern,Fighter,3,Hard,False,False,False,1,25~30,7~13,4~7,6~9,0~3,2~5,0~3,11,5,Steel Axe,False,False,False,False
Chapter 2,Bern,Mercenary,3,Hard,False,False,False,1,23~28,6~9,10~13,10~13,2~5,4~7,0~3,9,5,Iron Blade,False,False,False,False
Chapter 2,Bern,Fighter,1,Hard,False,False,False,1,24~28,7~11,4~6,6~8,0~2,2~4,0~2,11,5,Iron Axe,Hand Axe,False,False,False
Chapter 2,Bern,Fighter,2,Hard,False,False,False,1,24~29,7~12,4~7,6~9,0~3,2~5,0~3,11,5,Hand Axe,False,False,False,False
Chapter 3,Bern,Knight,2,Normal,False,False,False,1,17~18,5~6,2~3,0~1,0~1,9~10,0~1,13,4,Iron Lance,False,False,False,False
Chapter 3,Bern,Knight,3,Normal,False,False,False,1,18~19,5~6,2~3,0~1,0~1,9~10,0~1,13,4,Iron Lance,False,False,False,False
Chapter 3,Bern,Knight,3,Normal,False,False,False,1,18~19,5~6,2~3,0~1,0~1,9~10,0~1,13,4,Iron Lance,Javelin,Vulnerary,False,False
Chapter 3,Bern,Soldier,5,Normal,False,False,False,3,22~24,4~6,1~2,1~2,0~2,0~1,0~1,6,5,Javelin,False,False,False,False
Chapter 3,Bern,Soldier,5,Normal,False,False,False,9,22~24,4~6,1~2,1~2,0~2,0~1,0~1,6,5,Iron Lance,False,False,False,False
Chapter 3,Bern,Soldier,3,Normal,False,False,False,1,21~22,3~5,0~1,1~2,0~1,0~1,0~1,6,5,Iron Lance,False,False,False,False
Chapter 3,Bern,Archer,2,Normal,False,False,False,2,18~19,4~5,3~4,3~4,0~1,3~4,0~1,7,5,Iron Bow,False,False,False,False
Chapter 3,Slater,Knight,7,Normal,True,False,True,1,26,10,3,3,1,11,0,13,4,Steel Lance,Javelin,False,False,False
Chapter 3,Bern,Fighter,4,Normal,False,False,True,1,22~23,6~7,2~4,4~6,0~1,2~3,0~1,11,5,Hand Axe,False,False,False,False
Chapter 3,Bern,Fighter,4,Normal,False,False,True,1,22~23,6~7,2~4,4~6,0~1,2~3,0~1,11,5,Iron Axe,False,False,False,False
Chapter 3,Bern,Cavalier,1,Normal,False,False,True,2,20,5,2,5,0,6,0,9,7,Iron Sword,False,False,False,False
Chapter 3,Bern,Cavalier,1,Normal,False,False,True,2,20,5,2,5,0,6,0,9,7,Javelin,False,False,False,False
Chapter 3,Bern,Knight,2,Hard,False,False,False,1,23~28,7~12,4~7,0~3,2~5,11~14,0~3,13,4,Iron Lance,False,False,False,False
Chapter 3,Bern,Knight,3,Hard,False,False,False,1,24~29,7~12,4~7,0~3,2~5,11~14,0~3,13,4,Iron Lance,False,False,False,False
Chapter 3,Bern,Knight,3,Hard,False,False,False,1,24~29,7~12,4~7,0~3,2~5,11~14,0~3,13,4,Iron Lance,Javelin,Vulnerary,False,False
Chapter 3,Bern,Soldier,5,Hard,False,False,False,3,28~34,8~12,3~6,1~6,2~6,0~3,0~3,6,5,Javelin,False,False,False,False
Chapter 3,Bern,Soldier,5,Hard,False,False,False,9,28~34,8~12,3~6,1~6,2~6,0~3,0~3,6,5,Iron Lance,False,False,False,False
Chapter 3,Bern,Soldier,3,Hard,False,False,False,1,27~32,7~11,2~5,1~6,2~5,0~3,0~3,6,5,Iron Lance,False,False,False,False
Chapter 3,Bern,Archer,2,Hard,False,False,False,2,24~27,6~9,5~10,5~8,2~5,3~6,0~3,7,5,Iron Bow,False,False,False,False
Chapter 3,Slater,Knight,7,Hard,True,False,True,1,29~31,11~13,4~5,3~4,2~3,12~13,0~1,13,4,Steel Lance,Javelin,False,False,False
Chapter 3,Bern,Fighter,4,Hard,False,False,True,1,25~28,8~11,3~6,5~8,0~2,2~4,0~2,11,5,Hand Axe,False,False,False,False
Chapter 3,Bern,Fighter,4,Hard,False,False,True,1,25~28,8~11,3~6,5~8,0~2,2~4,0~2,11,5,Iron Axe,False,False,False,False
Chapter 3,Bern,Cavalier,1,Hard,False,False,True,5,23~25,6~7,3~5,6~7,1~2,6~7,0~1,9,7,Iron Sword,False,False,False,False
Chapter 3,Bern,Cavalier,1,Hard,False,False,True,5,23~25,6~7,3~5,6~7,1~2,6~7,0~1,9,7,Javelin,False,False,False,False
Chapter 4,Erik,Cavalier,10,Normal,True,False,False,1,26,8,8,9,2,8,2,9,7,Steel Sword,Javelin,False,False,False
Chapter 4,Laus,Cavalier,4,Normal,False,False,False,1,21~23,5~7,3~4,5~6,0~2,6~7,0~1,9,7,Iron Sword,False,False,False,False
Chapter 4,Laus,Archer,5,Normal,False,False,False,2,20~22,5~6,4~5,4~5,1~2,3~4,0~1,7,5,Iron Bow,False,False,False,False
Chapter 4,Laus,Cavalier,3,Normal,False,False,False,3,21~22,5~6,2~3,5~6,0~1,6~7,0~1,9,7,Iron Lance,False,False,False,False
Chapter 4,Laus,Cavalier,3,Normal,False,False,False,2,21~22,5~6,2~3,5~6,0~1,6~7,0~1,9,7,Iron Sword,False,False,False,False
Chapter 4,Laus,Cavalier,5,Normal,False,False,False,1,22~24,6~7,3~4,5~7,1~2,6~7,0~1,9,7,Iron Lance,False,False,False,False
Chapter 4,Laus,Cavalier,2,Normal,False,False,False,2,20~21,5~6,2~3,5~6,0~1,6~7,0~1,9,7,Iron Lance,False,False,False,False
Chapter 4,Laus,Cavalier,2,Normal,False,False,False,1,20~21,5~6,2~3,5~6,0~1,6~7,0~1,9,7,Iron Sword,False,False,False,False
Chapter 4,Laus,Archer,4,Normal,False,False,False,1,19~21,4~6,4~5,3~5,0~2,3~4,0~1,7,5,Iron Bow,False,False,False,False
Chapter 4,Laus,Nomad,1,Normal,False,False,False,2,16,5,4,5,0,4,0,7,7,Iron Bow,False,False,False,False
Chapter 4,Pirate,Pirate,4,Normal,False,False,True,3,20~22,5~6,2~4,6~7,0~1,3~4,0~1,10,5,Iron Axe,False,False,False,False
Chapter 4,Pirate,Pirate,3,Normal,False,False,True,3,20~21,4~6,2~3,6~7,0~1,3~4,0~1,10,5,Hand Axe,False,False,False,False
Chapter 4,Laus,Fighter,3,Normal,False,False,True,1,21~22,5~7,2~3,4~5,0~1,2~3,0~1,11,5,Iron Axe,Vulnerary,False,False,False
Chapter 4,Laus,Fighter,2,Normal,False,False,True,1,20~21,5~6,2~3,4~5,0~1,2~3,0~1,11,5,Iron Axe,Vulnerary,False,False,False
Chapter 4,Laus,Archer,2,Normal,False,False,True,1,18~19,4~5,3~4,3~4,0~1,3~4,0~1,7,5,Iron Bow,Vulnerary,False,False,False
Chapter 4,Rutger,Myrmidon,4,Normal,False,True,True,1,22,7,12,13,2,5,0,7,5,Killing Edge,False,False,False,False
Chapter 4,Erik,Cavalier,10,Hard,True,False,False,1,32~36,10~12,10~14,11~13,4~6,8~10,2~4,9,7,Steel Sword,Javelin,False,False,False
